ID,Measure,Measure_type,Ethnicity,Ethnicity_type,Time,Time_Type,Region,Value,confidence_interval,Numerator,denominator,samp_size
287_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian,ONS 2011 5+1,2004,year,Yorkshire and The Humber,10.7,3.3,10200,95500,864
300_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian Other,Detailed,2004,year,All,9.3,1.8,25600,274700,2602
304_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian Other,Detailed,2004,year,East Midlands,4.8,5.1,700,13700,169
306_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian Other,Detailed,2004,year,East of England,5.2,4.2,1100,21900,264
314_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian Other,Detailed,2004,year,London,8.7,3.3,10400,119200,717
317_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian Other,Detailed,2004,year,North East,8.6,8.2,600,6500,111
319_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian Other,Detailed,2004,year,North West,13.7,7.1,2500,18500,226
322_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian Other,Detailed,2004,year,Scotland,14.4,9.9,1200,8500,120
326_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian Other,Detailed,2004,year,South East,5.2,3.2,1900,37400,463
329_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian Other,Detailed,2004,year,South West,2.1,3.9,200,10600,134
331_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian Other,Detailed,2004,year,West Midlands,19.9,9.2,4000,20000,182
332_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian Other,Detailed,2004,year,Yorkshire and The Humber,19.8,11.4,2700,13500,118
342_unemployment_region,Unemployed,Percentage of individuals unemployed,Black,ONS 2011 5+1,2004,year,All,12.8,1.5,73200,573000,4478
346_unemployment_region,Unemployed,Percentage of individuals unemployed,Black,ONS 2011 5+1,2004,year,East Midlands,11,6.1,2300,21200,255
352_unemployment_region,Unemployed,Percentage of individuals unemployed,Black,ONS 2011 5+1,2004,year,East of England,6.5,3.7,2500,37600,416
364_unemployment_region,Unemployed,Percentage of individuals unemployed,Black,ONS 2011 5+1,2004,year,London,13.8,2.3,47900,346600,2158
368_unemployment_region,Unemployed,Percentage of individuals unemployed,Black,ONS 2011 5+1,2004,year,North West,13.4,6.4,3400,25400,275
374_unemployment_region,Unemployed,Percentage of individuals unemployed,Black,ONS 2011 5+1,2004,year,South East,7.6,3.8,3000,39700,460
377_unemployment_region,Unemployed,Percentage of individuals unemployed,Black,ONS 2011 5+1,2004,year,South West,11.4,8.3,1500,13600,140
381_unemployment_region,Unemployed,Percentage of individuals unemployed,Black,ONS 2011 5+1,2004,year,West Midlands,15.4,5.3,8800,57100,444
384_unemployment_region,Unemployed,Percentage of individuals unemployed,Black,ONS 2011 5+1,2004,year,Yorkshire and The Humber,13.6,8.1,3000,22400,170
396_unemployment_region,Unemployed,Percentage of individuals unemployed,Indian,Detailed,2004,year,All,6.9,1.1,39800,575500,5050
404_unemployment_region,Unemployed,Percentage of individuals unemployed,Indian,Detailed,2004,year,East Midlands,5.6,2.6,3500,63200,755
408_unemployment_region,Unemployed,Percentage of individuals unemployed,Indian,Detailed,2004,year,East of England,4.5,3.4,1400,31100,368
421_unemployment_region,Unemployed,Percentage of individuals unemployed,Indian,Detailed,2004,year,London,7.9,2.3,19400,246100,1355
427_unemployment_region,Unemployed,Percentage of individuals unemployed,Indian,Detailed,2004,year,North West,5.2,3.3,1600,30600,429
435_unemployment_region,Unemployed,Percentage of individuals unemployed,Indian,Detailed,2004,year,South East,5.8,2.7,3300,56800,731
438_unemployment_region,Unemployed,Percentage of individuals unemployed,Indian,Detailed,2004,year,South West,1.5,3.2,200,13700,141
444_unemployment_region,Unemployed,Percentage of individuals unemployed,Indian,Detailed,2004,year,West Midlands,9.2,3.1,8000,87500,811
448_unemployment_region,Unemployed,Percentage of individuals unemployed,Indian,Detailed,2004,year,Yorkshire and The Humber,4,4.1,1200,29400,222
458_unemployment_region,Unemployed,Percentage of individuals unemployed,Mixed,ONS 2011 5+1,2004,year,All,12.4,2.4,24000,192500,1770
461_unemployment_region,Unemployed,Percentage of individuals unemployed,Mixed,ONS 2011 5+1,2004,year,East Midlands,14.8,9.9,1700,11300,123
462_unemployment_region,Unemployed,Percentage of individuals unemployed,Mixed,ONS 2011 5+1,2004,year,East of England,11.5,7.9,1600,14100,155
466_unemployment_region,Unemployed,Percentage of individuals unemployed,Mixed,ONS 2011 5+1,2004,year,London,13.7,5.6,8600,62600,360
469_unemployment_region,Unemployed,Percentage of individuals unemployed,Mixed,ONS 2011 5+1,2004,year,North West,13.6,8.8,1600,11600,146
472_unemployment_region,Unemployed,Percentage of individuals unemployed,Mixed,ONS 2011 5+1,2004,year,South East,8.4,4.4,2800,33800,373
475_unemployment_region,Unemployed,Percentage of individuals unemployed,Mixed,ONS 2011 5+1,2004,year,South West,5,5.5,600,12600,147
476_unemployment_region,Unemployed,Percentage of individuals unemployed,Mixed,ONS 2011 5+1,2004,year,Wales,16,11.3,1100,6900,101
477_unemployment_region,Unemployed,Percentage of individuals unemployed,Mixed,ONS 2011 5+1,2004,year,West Midlands,20.5,10.9,3200,15700,132
488_unemployment_region,Unemployed,Percentage of individuals unemployed,Other,ONS 2011 5+1,2004,year,All,11,1.8,31700,289600,2773
491_unemployment_region,Unemployed,Percentage of individuals unemployed,Other,ONS 2011 5+1,2004,year,East Midlands,9.2,7.2,1000,10800,156
494_unemployment_region,Unemployed,Percentage of individuals unemployed,Other,ONS 2011 5+1,2004,year,East of England,7.3,4.7,1800,24300,290
502_unemployment_region,Unemployed,Percentage of individuals unemployed,Other,ONS 2011 5+1,2004,year,London,13.1,3.3,19000,144400,996
506_unemployment_region,Unemployed,Percentage of individuals unemployed,Other,ONS 2011 5+1,2004,year,North West,9,5.6,1900,21500,250
512_unemployment_region,Unemployed,Percentage of individuals unemployed,Other,ONS 2011 5+1,2004,year,South East,7.7,4.1,2700,35200,396
515_unemployment_region,Unemployed,Percentage of individuals unemployed,Other,ONS 2011 5+1,2004,year,South West,4.9,6,500,9700,126
516_unemployment_region,Unemployed,Percentage of individuals unemployed,Other,ONS 2011 5+1,2004,year,Wales,7.5,7.8,400,5900,110
518_unemployment_region,Unemployed,Percentage of individuals unemployed,Other,ONS 2011 5+1,2004,year,West Midlands,7.9,6.8,1200,15000,151
519_unemployment_region,Unemployed,Percentage of individuals unemployed,Other,ONS 2011 5+1,2004,year,Yorkshire and The Humber,15.7,10.7,2000,12700,111
531_unemployment_region,Unemployed,Percentage of individuals unemployed,Other than White,White and other,2004,year,All,10.7,0.7,243300,2272100,21028
543_unemployment_region,Unemployed,Percentage of individuals unemployed,Other than White,White and other,2004,year,East Midlands,8.7,2.1,11800,135600,1692
555_unemployment_region,Unemployed,Percentage of individuals unemployed,Other than White,White and other,2004,year,East of England,6.9,1.9,9900,144900,1772
569_unemployment_region,Unemployed,Percentage of individuals unemployed,Other than White,White and other,2004,year,London,11.7,1.2,121800,1037300,6614
580_unemployment_region,Unemployed,Percentage of individuals unemployed,Other than White,White and other,2004,year,North East,9.3,3.8,2800,30400,566
591_unemployment_region,Unemployed,Percentage of individuals unemployed,Other than White,White and other,2004,year,North West,10.4,2,16400,157400,2187
603_unemployment_region,Unemployed,Percentage of individuals unemployed,Other than White,White and other,2004,year,Scotland,10.1,3.9,4700,46800,558
617_unemployment_region,Unemployed,Percentage of individuals unemployed,Other than White,White and other,2004,year,South East,7,1.5,16700,237600,2943
631_unemployment_region,Unemployed,Percentage of individuals unemployed,Other than White,White and other,2004,year,South West,5.3,2.5,3400,63900,742
642_unemployment_region,Unemployed,Percentage of individuals unemployed,Other than White,White and other,2004,year,Wales,11.2,4.2,3400,30100,533
654_unemployment_region,Unemployed,Percentage of individuals unemployed,Other than White,White and other,2004,year,West Midlands,14.5,2.3,35300,244300,2184
668_unemployment_region,Unemployed,Percentage of individuals unemployed,Other than White,White and other,2004,year,Yorkshire and The Humber,11.9,2.8,17100,143800,1237
682_unemployment_region,Unemployed,Percentage of individuals unemployed,Pakistani/Bangladeshi,Detailed,2004,year,All,13.4,1.6,49100,366700,4355
686_unemployment_region,Unemployed,Percentage of individuals unemployed,Pakistani/Bangladeshi,Detailed,2004,year,East Midlands,16.6,7.5,2600,15400,234
690_unemployment_region,Unemployed,Percentage of individuals unemployed,Pakistani/Bangladeshi,Detailed,2004,year,East of England,9.9,5.5,1600,15900,279
700_unemployment_region,Unemployed,Percentage of individuals unemployed,Pakistani/Bangladeshi,Detailed,2004,year,London,14,3.3,16500,118300,1028
703_unemployment_region,Unemployed,Percentage of individuals unemployed,Pakistani/Bangladeshi,Detailed,2004,year,North East,10.9,7.6,900,8300,163
710_unemployment_region,Unemployed,Percentage of individuals unemployed,Pakistani/Bangladeshi,Detailed,2004,year,North West,10.9,3.3,5400,49700,861
713_unemployment_region,Unemployed,Percentage of individuals unemployed,Pakistani/Bangladeshi,Detailed,2004,year,Scotland,13.2,8.9,1800,13600,138
718_unemployment_region,Unemployed,Percentage of individuals unemployed,Pakistani/Bangladeshi,Detailed,2004,year,South East,8.4,3.8,2900,34700,520
725_unemployment_region,Unemployed,Percentage of individuals unemployed,Pakistani/Bangladeshi,Detailed,2004,year,West Midlands,20.7,5.8,10100,49000,464
731_unemployment_region,Unemployed,Percentage of individuals unemployed,Pakistani/Bangladeshi,Detailed,2004,year,Yorkshire and The Humber,12,4.4,6300,52600,524
735_unemployment_region,Unemployed,Percentage of individuals unemployed,Unknown,ONS 2011 5+1,2004,year,All,8.3,4.8,2200,25800,320
750_unemployment_region,Unemployed,Percentage of individuals unemployed,White,ONS 2011 5+1,2004,year,All,4.2,0.1,1133500,26681200,383568
765_unemployment_region,Unemployed,Percentage of individuals unemployed,White,ONS 2011 5+1,2004,year,East Midlands,3.9,0.3,79200,2008200,30525
780_unemployment_region,Unemployed,Percentage of individuals unemployed,White,ONS 2011 5+1,2004,year,East of England,3.5,0.3,93600,2684200,35209
795_unemployment_region,Unemployed,Percentage of individuals unemployed,White,ONS 2011 5+1,2004,year,London,5.5,0.6,150500,2726000,16531
809_unemployment_region,Unemployed,Percentage of individuals unemployed,White,ONS 2011 5+1,2004,year,North East,5.7,0.4,66200,1155600,26200
824_unemployment_region,Unemployed,Percentage of individuals unemployed,White,ONS 2011 5+1,2004,year,North West,4.4,0.3,136500,3121700,46302
839_unemployment_region,Unemployed,Percentage of individuals unemployed,White,ONS 2011 5+1,2004,year,Scotland,5.2,0.3,132200,2519100,42183
854_unemployment_region,Unemployed,Percentage of individuals unemployed,White,ONS 2011 5+1,2004,year,South East,3.5,0.3,139700,3988100,51457
869_unemployment_region,Unemployed,Percentage of individuals unemployed,White,ONS 2011 5+1,2004,year,South West,3.3,0.3,81700,2455600,40823
884_unemployment_region,Unemployed,Percentage of individuals unemployed,White,ONS 2011 5+1,2004,year,Wales,4.6,0.3,61600,1345000,36357
899_unemployment_region,Unemployed,Percentage of individuals unemployed,White,ONS 2011 5+1,2004,year,West Midlands,4.2,0.3,98400,2347800,31696
913_unemployment_region,Unemployed,Percentage of individuals unemployed,White,ONS 2011 5+1,2004,year,Yorkshire and The Humber,4,0.4,94000,2330000,26285
928_unemployment_region,Unemployed,Percentage of individuals unemployed,White British,Detailed,2004,year,All,4.2,0.1,1054400,25301400,367006
943_unemployment_region,Unemployed,Percentage of individuals unemployed,White British,Detailed,2004,year,East Midlands,3.9,0.3,77300,1965100,29872
958_unemployment_region,Unemployed,Percentage of individuals unemployed,White British,Detailed,2004,year,East of England,3.5,0.3,88700,2546900,33296
973_unemployment_region,Unemployed,Percentage of individuals unemployed,White British,Detailed,2004,year,London,5.4,0.6,121000,2235300,13774
987_unemployment_region,Unemployed,Percentage of individuals unemployed,White British,Detailed,2004,year,North East,5.7,0.4,65100,1143200,25958
1002_unemployment_region,Unemployed,Percentage of individuals unemployed,White British,Detailed,2004,year,North West,4.3,0.3,133000,3066500,45417
1017_unemployment_region,Unemployed,Percentage of individuals unemployed,White British,Detailed,2004,year,Scotland,5,0.3,116100,2319300,38808
1032_unemployment_region,Unemployed,Percentage of individuals unemployed,White British,Detailed,2004,year,South East,3.4,0.3,129000,3779600,48691
1047_unemployment_region,Unemployed,Percentage of individuals unemployed,White British,Detailed,2004,year,South West,3.2,0.3,75900,2343200,38733
1062_unemployment_region,Unemployed,Percentage of individuals unemployed,White British,Detailed,2004,year,Wales,4.6,0.3,60500,1307700,35462
1077_unemployment_region,Unemployed,Percentage of individuals unemployed,White British,Detailed,2004,year,West Midlands,4.2,0.4,95600,2301500,31075
1091_unemployment_region,Unemployed,Percentage of individuals unemployed,White British,Detailed,2004,year,Yorkshire and The Humber,4,0.4,92200,2293100,25920
1106_unemployment_region,Unemployed,Percentage of individuals unemployed,White Other,Detailed,2004,year,All,5.7,0.6,79100,1379800,16562
1114_unemployment_region,Unemployed,Percentage of individuals unemployed,White Other,Detailed,2004,year,East Midlands,4.5,2.5,1900,43100,653
1124_unemployment_region,Unemployed,Percentage of individuals unemployed,White Other,Detailed,2004,year,East of England,3.6,1.3,5000,137300,1913
1138_unemployment_region,Unemployed,Percentage of individuals unemployed,White Other,Detailed,2004,year,London,6,1.4,29500,490700,2757
1142_unemployment_region,Unemployed,Percentage of individuals unemployed,White Other,Detailed,2004,year,North East,8.6,5.6,1100,12400,242
1151_unemployment_region,Unemployed,Percentage of individuals unemployed,White Other,Detailed,2004,year,North West,6.3,2.5,3500,55200,885
1163_unemployment_region,Unemployed,Percentage of individuals unemployed,White Other,Detailed,2004,year,Scotland,8,1.4,16100,199800,3375
1177_unemployment_region,Unemployed,Percentage of individuals unemployed,White Other,Detailed,2004,year,South East,5.1,1.3,10700,208400,2766
1188_unemployment_region,Unemployed,Percentage of individuals unemployed,White Other,Detailed,2004,year,South West,5.1,1.5,5800,112400,2090
1198_unemployment_region,Unemployed,Percentage of individuals unemployed,White Other,Detailed,2004,year,Wales,2.8,1.7,1000,37200,895
1205_unemployment_region,Unemployed,Percentage of individuals unemployed,White Other,Detailed,2004,year,West Midlands,6,3,2800,46300,621
1209_unemployment_region,Unemployed,Percentage of individuals unemployed,White Other,Detailed,2004,year,Yorkshire and The Humber,5,3.5,1900,36900,365
1224_unemployment_region,Unemployed,Percentage of individuals unemployed,All,All,2005,year,All,4.9,0.1,1442700,29359900,386866
1239_unemployment_region,Unemployed,Percentage of individuals unemployed,All,All,2005,year,East Midlands,4.7,0.2,102700,2189900,30181
1254_unemployment_region,Unemployed,Percentage of individuals unemployed,All,All,2005,year,East of England,4,0.2,113700,2857500,35149
1269_unemployment_region,Unemployed,Percentage of individuals unemployed,All,All,2005,year,London,7.2,0.3,276300,3820700,22632
1284_unemployment_region,Unemployed,Percentage of individuals unemployed,All,All,2005,year,North East,5.6,0.3,68100,1205800,24696
1299_unemployment_region,Unemployed,Percentage of individuals unemployed,All,All,2005,year,North West,5.2,0.2,173300,3325600,45962
1314_unemployment_region,Unemployed,Percentage of individuals unemployed,All,All,2005,year,Scotland,5.3,0.2,137500,2592100,43706
1329_unemployment_region,Unemployed,Percentage of individuals unemployed,All,All,2005,year,South East,3.7,0.2,160000,4288200,54124
1344_unemployment_region,Unemployed,Percentage of individuals unemployed,All,All,2005,year,South West,3.4,0.2,87200,2553000,38097
1359_unemployment_region,Unemployed,Percentage of individuals unemployed,All,All,2005,year,Wales,5.1,0.2,71600,1391200,34027
1374_unemployment_region,Unemployed,Percentage of individuals unemployed,All,All,2005,year,West Midlands,5.1,0.2,132900,2620600,32661
1389_unemployment_region,Unemployed,Percentage of individuals unemployed,All,All,2005,year,Yorkshire and The Humber,4.8,0.3,119600,2515300,25631
1404_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian,ONS 2011 5+1,2005,year,All,9,0.8,115300,1277400,11928
1413_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian,ONS 2011 5+1,2005,year,East Midlands,8.4,2.6,8000,95000,1078
1422_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian,ONS 2011 5+1,2005,year,East of England,6.7,2.5,5400,80800,952
1436_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian,ONS 2011 5+1,2005,year,London,9.9,1.7,48200,489400,2982
1442_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian,ONS 2011 5+1,2005,year,North East,5.9,3.8,1300,21700,369
1453_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian,ONS 2011 5+1,2005,year,North West,9.6,2.3,10400,108100,1533
1459_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian,ONS 2011 5+1,2005,year,Scotland,6.2,3.8,2400,37900,390
1471_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian,ONS 2011 5+1,2005,year,South East,7.3,1.9,10000,136300,1825
1475_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian,ONS 2011 5+1,2005,year,South West,2.8,3,800,28300,297
1479_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian,ONS 2011 5+1,2005,year,Wales,10.5,6.2,1400,12900,232
1491_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian,ONS 2011 5+1,2005,year,West Midlands,12.2,2.6,20500,168300,1488
1499_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian,ONS 2011 5+1,2005,year,Yorkshire and The Humber,7.2,2.9,7100,98600,782
1512_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian Other,Detailed,2005,year,All,7.6,1.6,23000,304400,2790
1515_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian Other,Detailed,2005,year,East Midlands,5.4,5.6,700,13600,157
1517_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian Other,Detailed,2005,year,East of England,5.5,4.3,1300,24000,274
1525_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian Other,Detailed,2005,year,London,8.8,3.2,11200,126800,759
1528_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian Other,Detailed,2005,year,North East,4.7,6.2,400,7800,114
1530_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian Other,Detailed,2005,year,North West,8.2,5.3,2000,24000,254
1534_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian Other,Detailed,2005,year,Scotland,0.4,1.6,100,14900,153
1539_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian Other,Detailed,2005,year,South East,6,3.1,2500,42600,552
1542_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian Other,Detailed,2005,year,South West,3.9,5,500,11800,142
1544_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian Other,Detailed,2005,year,West Midlands,11.2,6.9,2700,23700,199
1558_unemployment_region,Unemployed,Percentage of individuals unemployed,Black,ONS 2011 5+1,2005,year,All,13.5,1.6,84600,624400,4529
1562_unemployment_region,Unemployed,Percentage of individuals unemployed,Black,ONS 2011 5+1,2005,year,East Midlands,9.9,5.5,2600,26900,279
1568_unemployment_region,Unemployed,Percentage of individuals unemployed,Black,ONS 2011 5+1,2005,year,East of England,6.5,3.8,2500,38200,409
1582_unemployment_region,Unemployed,Percentage of individuals unemployed,Black,ONS 2011 5+1,2005,year,London,15.5,2.4,58900,379600,2205
1586_unemployment_region,Unemployed,Percentage of individuals unemployed,Black,ONS 2011 5+1,2005,year,North West,12.3,6.3,3700,30000,258
1592_unemployment_region,Unemployed,Percentage of individuals unemployed,Black,ONS 2011 5+1,2005,year,South East,7.6,3.8,3100,40400,454
1595_unemployment_region,Unemployed,Percentage of individuals unemployed,Black,ONS 2011 5+1,2005,year,South West,3.9,5.4,600,14100,124
1599_unemployment_region,Unemployed,Percentage of individuals unemployed,Black,ONS 2011 5+1,2005,year,West Midlands,15.1,5.1,8600,56900,475
1603_unemployment_region,Unemployed,Percentage of individuals unemployed,Black,ONS 2011 5+1,2005,year,Yorkshire and The Humber,11.4,7.5,3100,27600,172
1615_unemployment_region,Unemployed,Percentage of individuals unemployed,Indian,Detailed,2005,year,All,7,1.1,41600,593400,4857
1623_unemployment_region,Unemployed,Percentage of individuals unemployed,Indian,Detailed,2005,year,East Midlands,7.3,3,4800,65300,713
1628_unemployment_region,Unemployed,Percentage of individuals unemployed,Indian,Detailed,2005,year,East of England,4,3.2,1500,36300,357
1639_unemployment_region,Unemployed,Percentage of individuals unemployed,Indian,Detailed,2005,year,London,8.1,2.4,20000,246300,1265
1645_unemployment_region,Unemployed,Percentage of individuals unemployed,Indian,Detailed,2005,year,North West,6,3.5,1800,30000,433
1653_unemployment_region,Unemployed,Percentage of individuals unemployed,Indian,Detailed,2005,year,South East,7.5,3,4400,58900,742
1656_unemployment_region,Unemployed,Percentage of individuals unemployed,Indian,Detailed,2005,year,South West,2.3,4.2,300,14200,122
1662_unemployment_region,Unemployed,Percentage of individuals unemployed,Indian,Detailed,2005,year,West Midlands,8,3,7200,89700,783
1666_unemployment_region,Unemployed,Percentage of individuals unemployed,Indian,Detailed,2005,year,Yorkshire and The Humber,3.2,3.9,1100,34100,196
1675_unemployment_region,Unemployed,Percentage of individuals unemployed,Mixed,ONS 2011 5+1,2005,year,All,11.5,2.4,22200,192900,1673
1678_unemployment_region,Unemployed,Percentage of individuals unemployed,Mixed,ONS 2011 5+1,2005,year,East Midlands,19,11,2100,11200,121
1679_unemployment_region,Unemployed,Percentage of individuals unemployed,Mixed,ONS 2011 5+1,2005,year,East of England,9.1,7,1400,15200,160
1683_unemployment_region,Unemployed,Percentage of individuals unemployed,Mixed,ONS 2011 5+1,2005,year,London,9.6,4.9,6300,65400,351
1686_unemployment_region,Unemployed,Percentage of individuals unemployed,Mixed,ONS 2011 5+1,2005,year,North West,13.3,7.8,2200,16700,180
1688_unemployment_region,Unemployed,Percentage of individuals unemployed,Mixed,ONS 2011 5+1,2005,year,South East,6.1,4.2,1800,29300,311
1691_unemployment_region,Unemployed,Percentage of individuals unemployed,Mixed,ONS 2011 5+1,2005,year,South West,9.6,8.5,900,9600,116
1692_unemployment_region,Unemployed,Percentage of individuals unemployed,Mixed,ONS 2011 5+1,2005,year,Wales,22.1,12.6,1400,6500,104
1693_unemployment_region,Unemployed,Percentage of individuals unemployed,Mixed,ONS 2011 5+1,2005,year,West Midlands,18.1,10.3,3600,19600,135
1704_unemployment_region,Unemployed,Percentage of individuals unemployed,Other,ONS 2011 5+1,2005,year,All,10.5,1.7,36400,345600,3042
1708_unemployment_region,Unemployed,Percentage of individuals unemployed,Other,ONS 2011 5+1,2005,year,East Midlands,9.5,6.5,1700,18300,195
1712_unemployment_region,Unemployed,Percentage of individuals unemployed,Other,ONS 2011 5+1,2005,year,East of England,9.2,5.1,2500,27700,304
1721_unemployment_region,Unemployed,Percentage of individuals unemployed,Other,ONS 2011 5+1,2005,year,London,11.7,2.9,20900,178200,1144
1724_unemployment_region,Unemployed,Percentage of individuals unemployed,Other,ONS 2011 5+1,2005,year,North East,13.2,9.9,900,6500,112
1726_unemployment_region,Unemployed,Percentage of individuals unemployed,Other,ONS 2011 5+1,2005,year,North West,9,6.1,1700,19400,210
1731_unemployment_region,Unemployed,Percentage of individuals unemployed,Other,ONS 2011 5+1,2005,year,South East,6.5,3.8,2300,35500,410
1734_unemployment_region,Unemployed,Percentage of individuals unemployed,Other,ONS 2011 5+1,2005,year,South West,4.5,5.1,600,13600,158
1735_unemployment_region,Unemployed,Percentage of individuals unemployed,Other,ONS 2011 5+1,2005,year,Wales,17.5,10.2,1500,8300,132
1737_unemployment_region,Unemployed,Percentage of individuals unemployed,Other,ONS 2011 5+1,2005,year,West Midlands,8.8,6.6,1700,18900,177
1738_unemployment_region,Unemployed,Percentage of individuals unemployed,Other,ONS 2011 5+1,2005,year,Yorkshire and The Humber,14.1,10.7,1800,12900,102
1751_unemployment_region,Unemployed,Percentage of individuals unemployed,Other than White,White and other,2005,year,All,10.6,0.7,258600,2440200,21172
1765_unemployment_region,Unemployed,Percentage of individuals unemployed,Other than White,White and other,2005,year,East Midlands,9.6,2.2,14500,151500,1673
1780_unemployment_region,Unemployed,Percentage of individuals unemployed,Other than White,White and other,2005,year,East of England,7.3,1.9,11800,162000,1825
1795_unemployment_region,Unemployed,Percentage of individuals unemployed,Other than White,White and other,2005,year,London,12.1,1.2,134300,1112700,6682
1806_unemployment_region,Unemployed,Percentage of individuals unemployed,Other than White,White and other,2005,year,North East,8.4,3.6,2900,34600,577
1818_unemployment_region,Unemployed,Percentage of individuals unemployed,Other than White,White and other,2005,year,North West,10.4,2,18100,174100,2181
1829_unemployment_region,Unemployed,Percentage of individuals unemployed,Other than White,White and other,2005,year,Scotland,7.4,3.3,3900,52500,600
1843_unemployment_region,Unemployed,Percentage of individuals unemployed,Other than White,White and other,2005,year,South East,7.1,1.5,17200,241500,3000
